Doc Date,Customer,Sales,Product,Amount,Unit Price
1/8/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
1/8/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
1/9/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
1/9/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
1/9/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
1/9/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
1/9/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
1/9/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
1/9/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/9/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/12/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/12/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/12/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
1/12/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
1/13/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
1/13/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
1/13/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
1/13/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
1/13/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
1/13/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
1/13/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
1/13/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
1/13/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
1/13/2025,Jiamei-Yangjiang,Linda,Door Bolt,600,27.18
1/14/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
1/14/2025,Keli-Hainan,Wangxia,Door Bolt,360,26.92
1/14/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
1/14/2025,Haijiang-Ningbo,Yeqing,Sign plate ,600,6.75
1/14/2025, Ruihe-Nanjing,Linda,Door stopper,5600,13.68
1/14/2025,Xindi-Zhenjiang,Yeqing,Sign plate ,360,6.67
1/14/2025, Dashun-Shenzhen,Wangxia,Sign plate ,1280,5.64
1/14/2025,Jinbai-Wenzhou,Yeqing,Door Bolt,110,26.67
1/15/2025,Boyu-Qingdao,Yeqing,Door knocker,760,37.5
1/15/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/15/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/15/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/15/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/15/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
1/15/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
1/16/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
1/16/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
1/16/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
1/16/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
1/16/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
1/16/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
1/16/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
1/16/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
1/16/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
1/19/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/19/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/19/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/19/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/19/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
1/19/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
1/19/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
1/20/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
1/20/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
1/20/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
1/20/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
1/20/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
1/20/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
1/20/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
1/20/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
1/21/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/21/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/21/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/21/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/21/2025,Jiamei-Yangjiang,Linda,Door Bolt,600,27.18
1/21/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
1/21/2025,Keli-Hainan,Wangxia,Door Bolt,360,26.92
1/22/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
1/22/2025,Haijiang-Ningbo,Yeqing,Sign plate ,600,6.75
1/22/2025, Ruihe-Nanjing,Linda,Door stopper,5600,13.68
1/22/2025,Xindi-Zhenjiang,Yeqing,Sign plate ,360,6.67
1/22/2025, Dashun-Shenzhen,Wangxia,Sign plate ,1280,5.64
1/22/2025,Jinbai-Wenzhou,Yeqing,Door Bolt,110,26.67
1/22/2025,Boyu-Qingdao,Yeqing,Door knocker,760,37.5
1/22/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/22/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/23/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/23/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/23/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
1/23/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
1/23/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
1/23/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
1/23/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
1/26/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
1/26/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
1/26/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
1/26/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
1/26/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
1/26/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
1/26/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/27/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/27/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/27/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/27/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
1/27/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
1/27/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
1/27/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
1/28/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
1/28/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
1/28/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
1/28/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
1/28/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
1/29/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
1/29/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
1/29/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/29/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/29/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/29/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/29/2025,Jiamei-Yangjiang,Linda,Door Bolt,600,27.18
1/29/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
1/30/2025,Keli-Hainan,Wangxia,Door Bolt,360,26.92
1/30/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
1/30/2025,Haijiang-Ningbo,Yeqing,Sign plate ,600,6.75
1/30/2025, Ruihe-Nanjing,Linda,Door stopper,5600,13.68
1/30/2025,Xindi-Zhenjiang,Yeqing,Sign plate ,360,6.67
1/30/2025, Dashun-Shenzhen,Wangxia,Sign plate ,1280,5.64
1/30/2025,Jinbai-Wenzhou,Yeqing,Door Bolt,110,26.67
2/2/2025,Boyu-Qingdao,Yeqing,Door knocker,760,37.5
2/2/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/2/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/2/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
2/2/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/2/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
2/3/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
2/3/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
2/3/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
2/3/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
2/4/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
2/4/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
2/4/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
2/4/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
2/4/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/4/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/4/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/4/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/4/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
2/5/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/5/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
2/5/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
2/5/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
2/5/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
2/5/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
2/5/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
2/6/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
2/6/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
2/6/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
2/6/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/6/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/6/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/9/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/9/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
2/9/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/9/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/10/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/10/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/10/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/10/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
2/10/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/10/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
2/10/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
2/11/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
2/11/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
2/11/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
2/11/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
6/12/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
2/12/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
2/12/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
6/12/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/12/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/12/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/12/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/12/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/12/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
6/12/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/13/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/13/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/16/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/16/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/12/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/16/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
2/16/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
2/16/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
2/16/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
2/17/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
2/17/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
6/12/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
2/18/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
2/18/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
6/12/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/18/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/18/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/18/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/18/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/12/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
6/12/2025,Jiamei-Yangjiang,Linda,Door Bolt,600,27.18
2/18/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
2/18/2025,Keli-Hainan,Wangxia,Door Bolt,360,26.92
2/19/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
2/19/2025,Haijiang-Ningbo,Yeqing,Sign plate ,600,6.75
2/19/2025, Ruihe-Nanjing,Linda,Door stopper,5600,13.68
2/19/2025,Xindi-Zhenjiang,Yeqing,Sign plate ,360,6.67
2/20/2025, Dashun-Shenzhen,Wangxia,Sign plate ,1280,5.64
2/20/2025,Jinbai-Wenzhou,Yeqing,Door Bolt,110,26.67
2/20/2025,Boyu-Qingdao,Yeqing,Door knocker,760,37.5
2/23/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/23/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/23/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/12/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/24/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
2/24/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
2/24/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
2/24/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
2/24/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
2/24/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
2/25/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
2/25/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
2/26/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
2/26/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/26/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/26/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/26/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/26/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
2/26/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/26/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
2/26/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
2/26/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
2/26/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
2/26/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
2/26/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
2/26/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
2/26/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
2/26/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
2/27/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
2/27/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
2/27/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
2/27/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
2/27/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
2/27/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
2/27/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
3/2/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
3/2/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
3/2/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
3/2/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
3/2/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
3/2/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
3/2/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
3/3/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
3/3/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
3/3/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
3/3/2025,Jiamei-Yangjiang,Linda,Door Bolt,600,27.18
3/3/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
3/3/2025,Keli-Hainan,Wangxia,Door Bolt,360,26.92
3/3/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
3/3/2025,Haijiang-Ningbo,Yeqing,Sign plate ,600,6.75
3/4/2025, Ruihe-Nanjing,Linda,Door stopper,5600,13.68
3/4/2025,Xindi-Zhenjiang,Yeqing,Sign plate ,360,6.67
3/4/2025, Dashun-Shenzhen,Wangxia,Sign plate ,1280,5.64
3/4/2025,Jinbai-Wenzhou,Yeqing,Door Bolt,110,26.67
3/4/2025,Boyu-Qingdao,Yeqing,Door knocker,760,37.5
3/4/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
3/4/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
3/4/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
3/4/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
3/5/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
3/5/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
3/5/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
3/5/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
3/5/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
3/5/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
3/5/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
3/5/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
3/6/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
3/6/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
3/6/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
3/6/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
3/6/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
3/6/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
3/6/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
3/6/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
3/6/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
3/6/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
3/6/2025,,Linda,Door stopper,1230,13.68
3/6/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
3/6/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
3/9/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
3/9/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
3/9/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
3/9/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
3/9/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
3/10/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
3/10/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
3/10/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
3/10/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/10/2025,Weijia-Shanghai,Linda,Door knocker,1200,25.21
6/10/2025,Jiamei-Yangjiang,Linda,Door knocker,600,27.18
3/10/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
3/10/2025,Keli-Hainan,Wangxia,Door Bolt,360,26.92
3/11/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
3/11/2025,Haijiang-Ningbo,Yeqing,Sign plate ,600,6.75
3/11/2025, Ruihe-Nanjing,Linda,Door stopper,5600,13.68
3/11/2025,Xindi-Zhenjiang,Yeqing,Sign plate ,360,6.67
3/11/2025, Dashun-Shenzhen,Wangxia,Sign plate ,1280,5.64
3/11/2025,Jinbai-Wenzhou,Yeqing,Door Bolt,110,26.67
3/11/2025,Boyu-Qingdao,Yeqing,Door knocker,760,37.5
3/11/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
3/11/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
3/11/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/10/2025,Weijia-Shanghai,Linda,Door knocker,1200,25.21
6/12/2025,Haijiang-Ningbo,Wangxia,Door stopper,500,28.21
3/12/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
3/12/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
3/12/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
6/12/2025,Boyu-Qingdao,Wangxia,Door stopper,500,27.78
3/12/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
6/10/2025,Hanxin-Hangzhou,Linda,Door knocker,3800,26.07
3/13/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
3/13/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
6/10/2025,Weijia-Shanghai,Linda,Door knocker,3600,26.5
6/12/2025, Ruihe-Nanjing,Wangxia,Door stopper,16800,23.93
3/13/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
3/13/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
3/13/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/10/2025,Weijia-Shanghai,Linda,Door knocker,1200,25.21
6/12/2025,Haijiang-Ningbo,Wangxia,Door stopper,500,28.21
3/16/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
3/16/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
3/16/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
6/12/2025,Boyu-Qingdao,Wangxia,Door stopper,500,27.78
3/16/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
6/10/2025,Hanxin-Hangzhou,Linda,Door knocker,3800,26.07
3/16/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
3/16/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
6/10/2025,Weijia-Shanghai,Linda,Door knocker,3600,26.5
6/12/2025, Ruihe-Nanjing,Wangxia,Door stopper,16800,23.93
3/17/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
3/17/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
3/17/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
6/10/2025,Weijia-Shanghai,Linda,Door knocker,1200,25.21
6/10/2025,Jiamei-Yangjiang,Linda,Door knocker,600,27.18
3/17/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
6/12/2025,Keli-Hainan,Wangxia,Door stopper,360,26.92
3/18/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
